urdf_link,mujoco_body,urdf_mass,mujoco_mass,delta_mass,urdf_ixx,mujoco_ixx,delta_ixx,urdf_iyy,mujoco_iyy,delta_iyy,urdf_izz,mujoco_izz,delta_izz,status
base_link,base,0.75,0.75,0.0,0.004576,0.001,-0.003576,0.001514,0.001,-0.0005139999999999999,0.005545,0.001,-0.0045449999999999996,matched
FL_hip,FL_hip,0.07,0.0902304225580522,0.0202304225580522,1.5e-05,2.924260864180753e-05,1.4242608641807528e-05,2.68e-05,2.2971381428768166e-05,-3.828618571231835e-06,3.3e-05,1.4140036489623496e-05,-1.885996351037651e-05,matched
FR_hip,FR_hip,0.07,0.090230423015299,0.020230423015298996,1.5e-05,2.9242608855602073e-05,1.4242608855602073e-05,2.68e-05,2.2971381572388064e-05,-3.828618427611937e-06,3.3e-05,1.4140036564400394e-05,-1.8859963435599606e-05,matched
RL_hip,RL_hip,0.07,0.09023043602372335,0.020230436023723347,1.5e-05,2.924261113962537e-05,1.4242611139625368e-05,2.68e-05,2.2971385068224734e-05,-3.828614931775267e-06,3.3e-05,1.4140036502230588e-05,-1.8859963497769412e-05,matched
RR_hip,RR_hip,0.07,0.09023043555457705,0.020230435554577042,1.5e-05,2.9242610915084094e-05,1.4242610915084093e-05,2.68e-05,2.2971384912007775e-05,-3.828615087992226e-06,3.3e-05,1.4140036426326353e-05,-1.8859963573673648e-05,matched
FL_thigh,FL_thigh,0.12,0.19473865631310355,0.07473865631310356,0.000153,0.00022108451696343365,6.808451696343364e-05,0.000167,0.00020569403555510755,3.8694035555107557e-05,3.5e-05,3.480558341739219e-05,-1.9441658260780417e-07,matched
FR_thigh,FR_thigh,0.12,0.19475772705869202,0.07475772705869202,0.000153,0.00022113004044147335,6.813004044147334e-05,0.000167,0.00020573762121059373,3.873762121059374e-05,3.5e-05,3.480434688504271e-05,-1.9565311495728577e-07,matched
RL_thigh,RL_thigh,0.12,0.19473864973894062,0.07473864973894062,0.000153,0.00022108452578860992,6.808452578860991e-05,0.000167,0.0002056940433039984,3.8694043303998414e-05,3.5e-05,3.480558026745173e-05,-1.9441973254827024e-07,matched
RR_thigh,RR_thigh,0.12,0.1947576946982814,0.07475769469828139,0.000153,0.0002211300138652545,6.81300138652545e-05,0.000167,0.0002057375956942504,3.8737595694250416e-05,3.5e-05,3.4804339103317353e-05,-1.9566089668264345e-07,matched
FL_calf,FL_calf,0.02,0.03760173277845568,0.01760173277845568,2.7e-05,6.127636514521599e-05,3.4276365145215986e-05,1.2e-05,6.0429529328051335e-05,4.8429529328051334e-05,1.5e-05,1.4145250393699065e-06,-1.3585474960630094e-05,matched
FR_calf,FR_calf,0.02,0.037601726456899416,0.017601726456899416,2.7e-05,6.12763577200783e-05,3.4276357720078306e-05,1.2e-05,6.042952158507691e-05,4.842952158507691e-05,1.5e-05,1.414525332002174e-06,-1.3585474667997825e-05,matched
RL_calf,RL_calf,0.02,0.037601731260341414,0.017601731260341414,2.7e-05,6.127636623629409e-05,3.427636623629409e-05,1.2e-05,6.042953023470592e-05,4.842953023470592e-05,1.5e-05,1.4145251878713258e-06,-1.3585474812128674e-05,matched
RR_calf,RR_calf,0.02,0.037601727862502876,0.017601727862502876,2.7e-05,6.127635848850035e-05,3.427635848850035e-05,1.2e-05,6.0429522328058986e-05,4.8429522328058986e-05,1.5e-05,1.4145253236869577e-06,-1.3585474676313043e-05,matched
